Time,Channel A,Channel B
0.10300000,6.14184999,11.66417408
0.10400000,5.68559837,11.66417408
0.10500000,5.68559837,11.66417408
0.10600001,6.14184999,11.66417408
0.10700001,5.68559837,11.66417408
0.10800001,5.68559837,11.66417408
0.10900001,6.14184999,12.11737442
0.11000001,6.14184999,11.66417408
0.11100001,6.14184999,11.66417408
0.11200001,5.68559837,11.66417408
0.11300001,6.14184999,11.66417408
0.11400001,6.14184999,11.66417408
0.11500001,5.68559837,11.66417408
0.11600001,5.68559837,11.66417408
0.11700001,5.68559837,11.66417408
0.11800001,5.68559837,11.66417408
0.11900001,5.68559837,11.66417408
0.12000001,6.14184999,11.66417408
0.12100001,5.68559837,11.66417408
0.12200001,5.68559837,11.66417408
0.12300001,5.68559837,11.66417408
0.12400001,5.68559837,11.66417408
0.12500001,6.14184999,11.66417408
0.12600001,5.68559837,11.66417408
0.12700001,6.14184999,12.11737442
0.12800001,6.14184999,11.66417408
0.12900001,6.14184999,11.66417408
0.13000001,5.68559837,11.66417408
0.13100001,6.14184999,11.66417408
0.13200001,6.14184999,11.66417408
0.13300001,5.68559837,11.66417408
0.13400001,5.68559837,11.66417408
0.13500001,5.68559837,11.66417408
0.13600001,5.68559837,11.66417408
0.13700001,5.68559837,11.66417408
0.13800001,5.68559837,11.66417408
0.13900001,5.68559837,11.66417408
0.14000001,5.68559837,11.66417408
0.14100001,5.68559837,11.66417408
0.14200001,5.68559837,11.66417408
0.14300001,5.68559837,11.66417408
0.14400001,6.14184999,11.66417408
0.14500001,5.68559837,11.66417408
0.14600001,5.68559837,11.66417408
0.14700001,5.68559837,11.66417408
0.14800001,5.68559837,11.66417408
0.14900001,5.68559837,11.66417408
0.15000001,5.68559837,11.66417408
0.15100001,5.68559837,11.66417408
0.15200001,5.68559837,11.66417408
0.15300001,5.68559837,11.66417408
0.15400001,5.68559837,11.66417408
0.15500001,5.68559837,11.66417408
0.15600001,5.68559837,11.66417408
0.15700001,5.68559837,11.66417408
0.15800001,5.68559837,11.66417408
0.15900001,5.68559837,11.66417408
0.16000001,5.68559837,11.66417408
0.16100001,5.68559837,11.66417408
0.16200001,5.68559837,11.66417408
0.16300001,5.68559837,11.66417408
0.16400001,5.68559837,11.66417408
0.16500001,5.23087263,11.66417408
0.16600001,5.23087263,11.66417408
0.16700001,5.68559837,11.66417408
0.16800001,5.68559837,11.66417408
0.16900001,5.68559837,11.66417408
0.17000001,5.68559837,11.66417408
0.17100001,5.68559837,11.66417408
0.17200001,5.68559837,11.66417408
0.17300001,5.68559837,11.66417408
0.17400001,5.68559837,11.66417408
0.17500001,5.68559837,11.66417408
0.17600001,5.68559837,11.66417408
0.17700001,5.68559837,11.66417408
0.17800001,5.68559837,11.66417408
0.17900001,5.68559837,11.66417408
0.18000001,5.68559837,11.66417408
0.18100001,5.68559837,11.66417408
0.18200001,5.68559837,11.66417408
0.18300001,5.23087263,11.66417408
0.18400001,5.68559837,11.66417408
0.18500001,5.23087263,11.66417408
0.18600001,5.68559837,11.66417408
0.18700001,5.23087263,11.66417408
0.18800001,5.68559837,11.66417408
0.18900001,5.23087263,11.66417408
0.19000001,5.68559837,11.66417408
0.19100001,5.23087263,11.66417408
0.19200001,5.23087263,11.66417408
0.19300001,5.68559837,11.66417408
0.19400001,5.68559837,11.66417408
0.19500001,5.23087263,11.66417408
0.19600001,5.23087263,11.66417408
0.19700001,5.23087263,11.66417408
0.19800001,5.23087263,11.66417408
0.19900001,5.68559837,11.66417408
0.20000001,5.68559837,11.66417408
0.20100001,5.68559837,11.66417408
0.20200001,5.23087263,11.66417408
0.20300001,5.23087263,11.66417408
0.20400001,5.23087263,11.66417408
0.20500001,5.23087263,11.66417408
0.20600001,5.68559837,11.66417408
0.20700001,5.23087263,11.66417408
0.20800001,5.68559837,11.66417408
0.20900001,5.23087263,11.66417408
0.21000001,5.68559837,11.66417408
0.21100001,5.68559837,12.11737442
0.21200001,5.23087263,11.66417408
0.21300001,5.23087263,11.66417408
0.21400001,5.23087263,11.66417408
0.21500001,5.23087263,11.66417408
0.21600001,5.68559837,11.66417408
0.21700001,5.68559837,11.66417408
0.21800001,5.23087263,11.66417408
0.21900001,5.68559837,11.66417408
0.22000001,5.23087263,11.66417408
0.22100001,5.23087263,11.66417408
0.22200001,5.68559837,11.66417408
0.22300001,5.23087263,11.66417408
0.22400001,5.23087263,11.66417408
0.22500001,5.23087263,11.66417408
0.22600001,5.23087263,11.66417408
0.22700001,5.68559837,11.66417408
0.22800001,5.23087263,11.66417408
0.22900001,5.23087263,11.66417408
0.23000001,5.23087263,11.66417408
0.23100001,5.68559837,11.66417408
0.23200001,5.23087263,11.66417408
0.23300001,5.23087263,11.66417408
0.23400001,5.68559837,11.66417408
0.23500001,5.23087263,11.66417408
0.23600001,5.23087263,11.66417408
0.23700001,5.23087263,11.66417408
0.23800001,5.23087263,11.66417408
0.23900001,5.23087263,11.66417408
0.24000001,5.23087263,11.66417408
0.24100001,5.23087263,11.66417408
0.24200001,5.23087263,11.66417408
0.24300001,5.68559837,11.66417408
0.24400001,5.23087263,11.66417408
0.24500001,5.68559837,11.66417408
0.24600001,5.23087263,11.66417408
0.24700001,5.23087263,11.66417408
0.24800001,5.68559837,11.66417408
0.24900001,5.68559837,11.66417408
0.25000001,5.23087263,11.66417408
0.25100001,5.23087263,11.66417408
0.25200001,5.23087263,11.66417408
0.25300001,5.23087263,11.66417408
0.25400001,5.68559837,11.66417408
0.25500001,5.23087263,11.66417408
0.25600001,5.23087263,11.66417408
0.25700001,5.23087263,11.66417408
0.25800001,5.23087263,11.66417408
0.25900001,4.77462101,11.66417408
0.26000001,5.23087263,11.66417408
0.26100001,5.23087263,11.66417408
0.26200001,5.23087263,11.66417408
0.26300001,5.23087263,11.66417408
0.26400001,5.23087263,11.66417408
0.26500001,5.23087263,11.66417408
0.26600001,5.23087263,11.66417408
0.26700001,5.23087263,11.66417408
0.26800001,5.23087263,11.66417408
0.26900001,5.68559837,11.66417408
0.27000001,5.23087263,11.66417408
0.27100001,5.23087263,11.66417408
0.27200001,5.68559837,11.66417408
0.27300001,5.68559837,11.66417408
0.27400001,5.23087263,11.66417408
0.27500001,5.23087263,11.66417408
0.27600001,5.23087263,11.66417408
0.27700001,5.23087263,11.66417408
0.27800001,5.68559837,11.66417408
0.27900001,5.23087263,11.66417408
0.28000001,5.68559837,11.66417408
0.28100001,5.23087263,11.66417408
0.28200001,5.68559837,11.66417408
0.28300001,5.23087263,11.66417408
0.28400001,5.68559837,11.66417408
0.28500001,5.68559837,11.66417408
0.28600001,5.68559837,11.66417408
0.28700001,5.68559837,11.66417408
0.28800001,5.23087263,11.66417408
0.28900001,5.68559837,11.66417408
0.29000001,5.23087263,11.66417408
0.29100001,5.68559837,11.66417408
0.29200001,5.23087263,11.66417408
0.29300001,5.68559837,11.66417408
0.29400001,5.68559837,11.66417408
0.29500001,5.68559837,11.66417408
0.29600001,5.68559837,11.66417408
0.29700001,5.68559837,11.66417408
0.29800001,5.68559837,11.66417408
0.29900001,5.68559837,11.66417408
0.30000001,5.68559837,11.66417408
0.30100001,5.68559837,11.66417408
0.30200001,5.68559837,11.66417408
0.30300001,5.23087263,11.66417408
0.30400001,5.23087263,11.66417408
0.30500001,5.23087263,11.66417408
0.30600001,5.23087263,11.66417408
0.30700001,5.68559837,11.66417408
0.30800001,5.23087263,11.66417408
0.30900001,5.23087263,11.66417408
0.31000001,5.68559837,11.66417408
0.31100001,5.68559837,11.66417408
0.31200001,5.68559837,11.66417408
0.31300001,5.68559837,11.66417408
0.31400001,5.68559837,11.66417408
0.31500001,5.68559837,11.66417408
0.31600002,5.68559837,11.66417408
0.31700002,5.23087263,11.66417408
0.31800002,5.68559837,11.66417408
0.31900002,5.68559837,11.66417408
0.32000002,5.23087263,11.66417408
0.32100002,5.68559837,11.66417408
0.32200002,5.23087263,11.66417408
0.32300002,5.68559837,11.66417408
0.32400002,5.68559837,11.66417408
0.32500002,5.68559837,11.66417408
0.32600002,5.68559837,11.66417408
0.32700002,5.23087263,11.66417408
0.32800002,5.68559837,11.66417408
0.32900002,5.68559837,11.66417408
0.33000002,5.68559837,11.66417408
0.33100002,5.23087263,11.66417408
0.33200002,5.23087263,11.66417408
0.33300002,5.68559837,11.66417408
0.33400002,5.68559837,11.66417408
0.33500002,5.68559837,11.66417408
0.33600002,5.23087263,11.66417408
0.33700002,5.68559837,11.66417408
0.33800002,5.68559837,11.66417408
0.33900002,5.23087263,11.66417408
0.34000002,5.68559837,11.66417408
0.34100002,5.68559837,11.66417408
0.34200002,5.23087263,11.66417408
0.34300002,5.23087263,11.66417408
0.34400002,5.68559837,11.66417408
0.34500002,5.68559837,11.66417408
0.34600002,5.23087263,11.66417408
0.34700002,5.68559837,11.66417408
0.34800002,5.68559837,11.66417408
0.34900002,5.68559837,11.66417408
0.35000002,5.68559837,11.66417408
0.35100002,5.68559837,11.66417408
0.35200002,5.68559837,11.66417408
0.35300002,5.23087263,11.66417408
0.35400002,5.68559837,11.66417408
0.35500002,5.68559837,11.66417408
0.35600002,5.23087263,11.66417408
0.35700002,5.68559837,11.66417408
0.35800002,5.23087263,11.66417408
0.35900002,5.68559837,12.11737442
0.36000002,5.23087263,11.66417408
0.36100002,5.68559837,11.66417408
0.36200002,5.68559837,11.66417408
0.36300002,5.68559837,11.66417408
0.36400002,5.23087263,11.66417408
0.36500002,5.68559837,11.66417408
0.36600002,5.68559837,11.66417408
0.36700002,5.68559837,11.66417408
0.36800002,5.68559837,11.66417408
0.36900002,5.68559837,11.66417408
0.37000002,5.68559837,11.66417408
0.37100002,5.68559837,11.66417408
0.37200002,5.68559837,11.66417408
0.37300002,5.68559837,11.66417408
0.37400002,5.23087263,11.66417408
0.37500002,5.23087263,11.66417408
0.37600002,5.68559837,11.66417408
0.37700002,5.68559837,11.66417408
0.37800002,5.68559837,11.66417408
0.37900002,5.68559837,11.66417408
0.38000002,5.68559837,11.66417408
0.38100002,5.68559837,11.66417408
0.38200002,5.68559837,11.66417408
0.38300002,5.23087263,11.66417408
0.38400002,5.68559837,11.66417408
0.38500002,5.68559837,11.66417408
0.38600002,5.68559837,11.66417408
0.38700002,5.68559837,11.66417408
0.38800002,5.23087263,11.66417408
0.38900002,5.23087263,11.66417408
0.39000002,5.23087263,11.66417408
0.39100002,5.23087263,11.66417408
0.39200002,5.68559837,11.66417408
0.39300002,5.68559837,11.66417408
0.39400002,5.68559837,11.66417408
0.39500002,5.68559837,11.66417408
0.39600002,5.68559837,11.66417408
0.39700002,5.23087263,11.66417408
0.39800002,5.68559837,11.66417408
0.39900002,5.23087263,11.66417408
0.40000002,5.23087263,11.66417408
0.40100002,5.68559837,11.66417408
0.40200002,5.68559837,11.66417408
0.40300002,5.23087263,11.66417408
0.40400002,5.68559837,11.66417408
0.40500002,5.23087263,11.66417408
0.40600002,5.23087263,11.66417408
0.40700002,5.68559837,11.66417408
0.40800002,5.23087263,11.66417408
0.40900002,5.68559837,11.66417408
0.41000002,5.23087263,11.66417408
0.41100002,5.23087263,11.66417408
0.41200002,5.23087263,11.66417408
0.41300002,5.23087263,11.66417408
0.41400002,5.23087263,11.66417408
0.41500002,5.23087263,11.66417408
0.41600002,5.68559837,11.66417408
0.41700002,5.23087263,11.66417408
0.41800002,5.68559837,11.66417408
0.41900002,5.68559837,11.66417408
0.42000002,5.23087263,11.66417408
0.42100002,5.23087263,11.66417408
0.42200002,5.68559837,11.66417408
0.42300002,5.68559837,11.66417408
0.42400002,5.23087263,11.66417408
0.42500002,5.23087263,11.66417408
0.42600002,5.23087263,11.66417408
0.42700002,5.23087263,11.66417408
0.42800002,5.68559837,11.66417408
0.42900002,5.23087263,11.66417408
0.43000002,5.23087263,11.66417408
0.43100002,5.23087263,11.66417408
0.43200002,5.23087263,11.66417408
0.43300002,5.68559837,11.66417408
0.43400002,5.68559837,11.66417408
0.43500002,5.23087263,11.66417408
0.43600002,5.68559837,11.66417408
0.43700002,5.68559837,11.66417408
0.43800002,5.68559837,11.66417408
0.43900002,5.23087263,11.66417408
0.44000002,5.23087263,11.66417408
0.44100002,5.68559837,11.66417408
0.44200002,5.68559837,11.66417408
0.44300002,5.23087263,11.66417408
0.44400002,5.68559837,11.66417408
0.44500002,5.23087263,11.66417408
0.44600002,5.23087263,11.66417408
0.44700002,5.23087263,11.66417408
0.44800002,5.68559837,11.66417408
0.44900002,5.23087263,11.66417408
0.45000002,5.23087263,11.66417408
0.45100002,5.23087263,11.66417408
0.45200002,5.23087263,11.66417408
0.45300002,5.68559837,11.66417408
0.45400002,5.68559837,11.66417408
0.45500002,5.23087263,11.66417408
0.45600002,5.68559837,11.66417408
0.45700002,5.23087263,11.66417408
0.45800002,5.68559837,11.66417408
0.45900002,5.68559837,11.66417408
0.46000002,5.23087263,11.66417408
0.46100002,5.23087263,11.66417408
0.46200002,5.23087263,11.66417408
0.46300002,5.68559837,11.66417408
0.46400002,5.23087263,11.66417408
0.46500002,5.23087263,11.66417408
0.46600002,5.23087263,11.66417408
0.46700002,5.68559837,11.66417408
0.46800002,5.23087263,11.66417408
0.46900002,5.68559837,11.66417408
0.47000002,5.23087263,11.66417408
0.47100002,5.23087263,11.66417408
0.47200002,5.23087263,11.66417408
0.47300002,5.23087263,11.66417408
0.47400002,5.68559837,11.66417408
0.47500002,5.23087263,11.66417408
0.47600002,5.23087263,11.66417408
0.47700002,5.68559837,11.66417408
0.47800002,5.68559837,11.66417408
0.47900002,5.68559837,11.66417408
0.48000002,5.23087263,11.66417408
0.48100002,5.23087263,11.66417408
0.48200002,5.23087263,11.66417408
0.48300002,5.23087263,11.66417408
0.48400002,5.23087263,11.66417408
0.48500002,5.23087263,11.66417408
0.48600002,5.23087263,11.66417408
0.48700002,5.23087263,11.66417408
0.48800002,5.23087263,11.66417408
0.48900002,5.23087263,11.66417408
0.49000002,5.23087263,11.66417408
0.49100002,5.23087263,11.66417408
0.49200002,5.23087263,11.66417408
0.49300002,5.23087263,12.11737442
0.49400002,5.68559837,11.66417408
0.49500002,5.23087263,11.66417408
0.49600002,5.23087263,11.66417408
0.49700002,5.23087263,11.66417408
0.49800002,5.23087263,11.66417408
0.49900002,5.23087263,11.66417408
0.50000002,5.23087263,11.66417408
0.50100002,5.23087263,11.66417408
0.50200002,5.23087263,11.66417408
0.50300002,5.23087263,11.66417408
0.50400002,4.77462101,11.66417408
0.50500002,5.23087263,11.66417408
0.50600002,4.77462101,11.66417408
0.50700002,5.23087263,11.66417408
0.50800002,5.23087263,11.66417408
0.50900002,5.23087263,12.11737442
0.51000002,5.23087263,11.66417408
0.51100002,5.23087263,11.66417408
0.51200002,5.23087263,11.66417408
0.51300002,5.23087263,11.66417408
0.51400002,5.23087263,11.66417408
0.51500002,5.23087263,11.66417408
0.51600002,5.23087263,11.66417408
0.51700002,5.23087263,11.66417408
0.51800002,5.23087263,11.66417408
0.51900002,5.23087263,11.66417408
0.52000002,5.23087263,11.66417408
0.52100002,5.23087263,11.66417408
0.52200002,5.23087263,11.66417408
0.52300002,5.23087263,11.66417408
0.52400002,4.77462101,11.66417408
0.52500002,5.23087263,11.66417408
0.52600002,5.68559837,11.66417408
0.52700003,5.23087263,11.66417408
0.52800003,5.23087263,11.66417408
0.52900003,5.23087263,11.66417408
0.53000003,5.23087263,11.66417408
0.53100003,5.23087263,11.66417408
0.53200003,5.23087263,11.66417408
0.53300003,5.23087263,11.66417408
0.53400003,5.23087263,11.21097469
0.53500003,5.68559837,11.66417408
0.53600003,5.23087263,11.66417408
0.53700003,5.23087263,11.66417408
0.53800003,5.23087263,11.66417408
0.53900003,5.23087263,11.66417408
0.54000003,5.23087263,11.66417408
0.54100003,4.77462101,11.66417408
0.54200003,5.23087263,11.66417408
0.54300003,5.68559837,11.66417408
0.54400003,5.23087263,11.66417408
0.54500003,5.23087263,11.66417408
0.54600003,5.23087263,11.66417408
0.54700003,5.23087263,11.66417408
0.54800003,5.23087263,11.66417408
0.54900003,5.23087263,11.66417408
0.55000003,5.23087263,11.66417408
0.55100003,5.23087263,11.66417408
0.55200003,5.23087263,11.66417408
0.55300003,5.23087263,11.66417408
0.55400003,5.68559837,11.66417408
0.55500003,5.68559837,11.66417408
0.55600003,5.23087263,11.66417408
0.55700003,5.23087263,11.66417408
0.55800003,5.23087263,11.66417408
0.55900003,5.68559837,11.66417408
0.56000003,5.23087263,11.66417408
0.56100003,5.23087263,11.66417408
0.56200003,5.23087263,11.66417408
0.56300003,5.68559837,11.66417408
0.56400003,5.68559837,11.66417408
0.56500003,5.23087263,11.66417408
0.56600003,5.68559837,11.66417408
0.56700003,5.23087263,11.66417408
0.56800003,5.68559837,11.66417408
0.56900003,5.68559837,11.66417408
0.57000003,5.68559837,11.66417408
0.57100003,5.68559837,11.66417408
0.57200003,5.23087263,11.66417408
0.57300003,5.23087263,11.66417408
0.57400003,5.23087263,11.66417408
0.57500003,5.23087263,11.66417408
0.57600003,5.68559837,11.66417408
0.57700003,5.68559837,11.66417408
0.57800003,5.68559837,12.11737442
0.57900003,5.23087263,11.66417408
0.58000003,5.23087263,11.66417408
0.58100003,5.23087263,11.66417408
0.58200003,5.23087263,11.66417408
0.58300003,5.68559837,11.66417408
0.58400003,5.23087263,11.66417408
0.58500003,5.68559837,11.66417408
0.58600003,5.68559837,11.66417408
0.58700003,5.68559837,11.66417408
0.58800003,5.68559837,11.66417408
0.58900003,5.68559837,11.66417408
0.59000003,5.68559837,11.66417408
0.59100003,5.68559837,11.66417408
0.59200003,5.68559837,11.66417408
0.59300003,5.68559837,11.66417408
0.59400003,5.68559837,11.66417408
0.59500003,5.68559837,11.66417408
0.59600003,5.68559837,11.66417408
0.59700003,5.23087263,11.66417408
0.59800003,5.68559837,11.66417408
0.59900003,5.68559837,11.66417408
0.60000003,5.68559837,11.66417408
0.60100003,5.68559837,11.66417408
0.60200003,5.68559837,11.66417408
0.60300003,5.68559837,11.66417408
0.60400003,5.68559837,11.66417408
0.60500003,5.68559837,11.66417408
0.60600003,5.23087263,11.66417408
0.60700003,5.68559837,11.66417408
0.60800003,5.68559837,11.66417408
0.60900003,5.23087263,11.66417408
0.61000003,5.68559837,11.66417408
0.61100003,5.68559837,11.66417408
0.61200003,5.68559837,11.66417408
0.61300003,5.68559837,11.66417408
0.61400003,5.68559837,11.66417408
0.61500003,5.68559837,11.66417408
0.61600003,5.68559837,11.66417408
0.61700003,5.68559837,11.66417408
0.61800003,5.68559837,11.66417408
0.61900003,5.68559837,11.66417408
0.62000003,5.68559837,11.66417408
0.62100003,5.68559837,11.66417408
0.62200003,5.68559837,11.66417408
0.62300003,5.68559837,11.66417408
0.62400003,5.68559837,11.66417408
0.62500003,5.68559837,11.66417408
0.62600003,5.68559837,11.66417408
0.62700003,5.68559837,11.66417408
0.62800003,5.68559837,11.66417408
0.62900003,5.68559837,11.66417408
0.63000003,5.68559837,11.66417408
0.63100003,5.68559837,11.66417408
0.63200003,5.68559837,11.66417408
0.63300003,5.68559837,11.66417408
0.63400003,5.68559837,11.66417408
0.63500003,5.68559837,11.66417408
0.63600003,5.68559837,11.66417408
0.63700003,5.68559837,11.66417408
0.63800003,5.68559837,11.66417408
0.63900003,5.68559837,11.66417408
0.64000003,5.68559837,11.66417408
0.64100003,5.68559837,11.66417408
0.64200003,5.68559837,11.66417408
0.64300003,5.68559837,11.66417408
0.64400003,5.68559837,11.66417408
0.64500003,5.68559837,11.66417408
0.64600003,5.68559837,11.66417408
0.64700003,5.68559837,11.66417408
0.64800003,5.68559837,11.66417408
0.64900003,5.68559837,11.66417408
0.65000003,5.68559837,11.66417408
0.65100003,5.68559837,11.66417408
0.65200003,5.23087263,11.66417408
0.65300003,5.68559837,11.66417408
0.65400003,5.68559837,11.66417408
0.65500003,5.23087263,11.66417408
0.65600003,5.68559837,11.66417408
0.65700003,5.23087263,11.66417408
0.65800003,5.68559837,11.66417408
0.65900003,5.68559837,11.66417408
0.66000003,5.68559837,11.66417408
0.66100003,5.68559837,11.66417408
0.66200003,6.14184999,11.66417408
0.66300003,5.68559837,11.66417408
0.66400003,5.68559837,11.66417408
0.66500003,5.23087263,11.66417408
0.66600003,5.68559837,11.66417408
0.66700003,5.68559837,11.66417408
0.66800003,5.68559837,11.66417408
0.66900003,5.68559837,11.66417408
0.67000003,5.68559837,11.66417408
0.67100003,5.68559837,11.66417408
0.67200003,5.68559837,11.66417408
0.67300003,5.68559837,11.66417408
0.67400003,5.68559837,11.66417408
0.67500003,5.68559837,11.66417408
0.67600003,5.68559837,11.66417408
0.67700003,5.68559837,11.66417408
0.67800003,5.68559837,11.66417408
0.67900003,5.68559837,11.66417408
0.68000003,5.68559837,11.66417408
0.68100003,5.68559837,11.66417408
0.68200003,5.23087263,11.66417408
0.68300003,5.68559837,11.66417408
0.68400003,5.68559837,11.66417408
0.68500003,5.68559837,11.66417408
0.68600003,5.68559837,11.66417408
0.68700003,5.68559837,11.66417408
0.68800003,5.68559837,11.66417408
0.68900003,5.68559837,11.66417408
0.69000003,5.68559837,11.66417408
0.69100003,5.68559837,11.66417408
0.69200003,5.68559837,11.66417408
0.69300003,5.68559837,11.66417408
0.69400003,5.68559837,11.66417408
0.69500003,5.68559837,11.66417408
0.69600003,5.68559837,11.66417408
0.69700003,5.23087263,11.66417408
0.69800003,5.68559837,11.66417408
0.69900003,5.68559837,11.66417408
0.70000003,5.68559837,11.66417408
0.70100003,5.23087263,11.66417408
0.70200003,5.68559837,11.66417408
0.70300003,5.68559837,11.66417408
0.70400003,5.68559837,12.11737442
0.70500003,5.68559837,11.66417408
0.70600003,5.23087263,11.66417408
0.70700003,5.68559837,11.66417408
0.70800003,5.68559837,11.66417408
0.70900003,5.68559837,11.66417408
0.71000003,5.68559837,11.66417408
0.71100003,5.23087263,11.66417408
0.71200003,5.68559837,11.66417408
0.71300003,5.68559837,11.66417408
0.71400003,5.68559837,11.66417408
0.71500003,5.68559837,11.66417408
0.71600003,5.23087263,12.11737442
0.71700003,5.68559837,11.66417408
0.71800003,5.68559837,11.66417408
0.71900003,5.68559837,11.66417408
0.72000003,5.23087263,11.66417408
0.72100003,5.68559837,11.66417408
0.72200003,5.68559837,11.66417408
0.72300003,5.68559837,11.66417408
0.72400003,5.68559837,11.66417408
0.72500003,5.68559837,11.66417408
0.72600003,5.68559837,11.66417408
0.72700003,5.68559837,11.66417408
0.72800003,5.68559837,12.11737442
0.72900003,5.23087263,11.66417408
0.73000003,5.68559837,11.66417408
0.73100003,5.68559837,11.66417408
0.73200003,5.68559837,11.66417408
0.73300003,5.23087263,11.66417408
0.73400003,5.68559837,11.66417408
0.73500003,5.23087263,11.66417408
0.73600003,5.23087263,11.66417408
0.73700004,5.68559837,11.66417408
0.73800004,5.23087263,11.66417408
0.73900004,5.23087263,11.66417408
0.74000004,5.23087263,11.66417408
0.74100004,5.68559837,11.66417408
0.74200004,5.23087263,11.66417408
0.74300004,5.68559837,11.66417408
0.74400004,5.68559837,11.66417408
0.74500004,5.68559837,11.66417408
0.74600004,5.23087263,11.66417408
0.74700004,5.68559837,11.66417408
0.74800004,5.23087263,11.66417408
0.74900004,5.68559837,11.66417408
0.75000004,5.23087263,11.66417408
0.75100004,5.68559837,11.66417408
0.75200004,5.23087263,11.66417408
0.75300004,5.23087263,11.66417408
0.75400004,5.23087263,11.66417408
0.75500004,5.23087263,11.66417408
0.75600004,5.23087263,11.66417408
0.75700004,5.23087263,11.66417408
0.75800004,5.23087263,11.66417408
0.75900004,5.68559837,11.66417408
0.76000004,5.23087263,11.66417408
0.76100004,5.23087263,11.66417408
0.76200004,5.68559837,11.66417408
0.76300004,5.68559837,11.66417408
0.76400004,5.68559837,11.66417408
0.76500004,5.68559837,11.66417408
0.76600004,5.23087263,11.66417408
0.76700004,5.68559837,11.66417408
0.76800004,5.68559837,11.66417408
0.76900004,5.23087263,11.66417408
0.77000004,4.77462101,11.66417408
0.77100004,5.23087263,11.66417408
0.77200004,5.23087263,11.66417408
0.77300004,5.23087263,11.66417408
0.77400004,5.23087263,11.66417408
